premise_v2,hypothesis_v2,premise_sentences,hypothesis_sentences,labels,label_name,premise_lemma,premise_pos,hypothesis_lemma,hypothesis_pos
Чоловік готується кидати палку за свою собаку.,Чоловік і його собака грають на його дворі.,['Чоловік готується кидати палку за свою собаку.'],['Чоловік і його собака грають на його дворі.'],1,neutral,чоловік готуватися кидати палка за свій собака .,NOUN VERB VERB NOUN ADP DET NOUN PUNCT,чоловік і його собака грати на його двір .,NOUN CCONJ DET NOUN VERB ADP DET NOUN PUNCT
Чоловік у чорному пальто і плетені капелюхи ходить по вулицях міста.,Чоловік ходить.,['Чоловік у чорному пальто і плетені капелюхи ходить по вулицях міста.'],['Чоловік ходить.'],0,entailment,чоловік у чорний пальто і плетений капелюх ходити по вулиця місто .,NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADP NOUN NOUN PUNCT,чоловік ходити .,NOUN VERB PUNCT
"Краткочісний чоловік у синій сорочки розмовляє з групою людей за межами будинку, який має білі двері і балкон.","Група людей в будівлі, що чекають ліфта.","['Краткочісний чоловік у синій сорочки розмовляє з групою людей за межами будинку, який має білі двері і балкон.']","['Група людей в будівлі, що чекають ліфта.']",2,contradiction,"краткочісний чоловік у синій сорочка розмовляти з група людина за межа будинок , який мати білий двері і балкон .",ADJ NOUN ADP ADJ NOUN VERB ADP NOUN NOUN ADP NOUN NOUN PUNCT DET VERB ADJ NOUN CCONJ NOUN PUNCT,"група людина в будівля , що чекати ліфт .",NOUN NOUN ADP NOUN PUNCT SCONJ VERB NOUN PUNCT
Три чоловіки з прихованцями на вухах тримають зброю і практикують стріляння на полі стріляни.,"Три людини стріляють по цілі, яка нагадує людину.",['Три чоловіки з прихованцями на вухах тримають зброю і практикують стріляння на полі стріляни.'],"['Три людини стріляють по цілі, яка нагадує людину.']",1,neutral,три чоловік з прихованець на вухо тримати зброя і практикувати стріляння на поле стрілянин .,NUM NOUN ADP NOUN ADP NOUN VERB NOUN CCONJ VERB NOUN ADP NOUN NOUN PUNCT,"три людина стріляти по ціль , який нагадувати людина .",NUM NOUN VERB ADP NOUN PUNCT DET VERB NOUN PUNCT
"Чоловік у капуті, який тримає молоток і сидить на підлозі.","Чоловік, який тримає ключ, стоїть у своєму гаражі.","['Чоловік у капуті, який тримає молоток і сидить на підлозі.']","['Чоловік, який тримає ключ, стоїть у своєму гаражі.']",2,contradiction,"чоловік у капут , який тримати молоток і сидіти на підлога .",NOUN ADP NOUN PUNCT DET VERB NOUN CCONJ VERB ADP NOUN PUNCT,"чоловік , який тримати ключ , стояти у свій гараж .",NOUN PUNCT DET VERB NOUN PUNCT VERB ADP DET NOUN PUNCT
"Чоловік у червоній капелюзі і синій верхній носіть на голові ладенку, заповнене печеними виробами.","Чоловік, який продав пончики на фестивалі з лавки на голови.","['Чоловік у червоній капелюзі і синій верхній носіть на голові ладенку, заповнене печеними виробами.']","['Чоловік, який продав пончики на фестивалі з лавки на голови.']",1,neutral,"чоловік у червоний капелюз і синій верхній носіть на голова ладенка , заповнений печений виріб .",NOUN ADP ADJ NOUN CCONJ ADJ ADJ NOUN ADP NOUN NOUN PUNCT ADJ ADJ NOUN PUNCT,"чоловік , який продати пончик на фестиваль з лавка на голова .",NOUN PUNCT DET VERB NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT
"Дівчина сидить на лаві перед велосипедом, чищуючи взуття з кистиною.",Дівчина краде кишені людей.,"['Дівчина сидить на лаві перед велосипедом, чищуючи взуття з кистиною.']",['Дівчина краде кишені людей.'],2,contradiction,"дівчина сидіти на лава перед велосипед , чищувати взуття з кистина .",NOUN VERB ADP NOUN ADP NOUN PUNCT VERB NOUN ADP NOUN PUNCT,дівчина красти кишеня людина .,NOUN VERB NOUN NOUN PUNCT
Люди гоняються по дорозі на скейтбордах.,Люди гоняються.,['Люди гоняються по дорозі на скейтбордах.'],['Люди гоняються.'],0,entailment,людина гонятися по дорога на скейтборд .,NOUN VERB ADP NOUN ADP NOUN PUNCT,людина гонятися .,NOUN VERB PUNCT
На даний момент великий і приємний ресторан виглядає порожнім.,У гарному ресторані багажник.,['На даний момент великий і приємний ресторан виглядає порожнім.'],['У гарному ресторані багажник.'],2,contradiction,на даний момент великий і приємний ресторан виглядати порожній .,ADP ADJ NOUN ADJ CCONJ ADJ NOUN VERB ADJ PUNCT,у гарний ресторан багажник .,ADP ADJ NOUN NOUN PUNCT
"Дві маленькі хлопці, один у пластмасі, інший у футболці і підніжку, сидять на жовтих стільцях, втілених в стіл.",Дві маленькі діти чекають наступного їжі.,"['Дві маленькі хлопці, один у пластмасі, інший у футболці і підніжку, сидять на жовтих стільцях, втілених в стіл.']",['Дві маленькі діти чекають наступного їжі.'],1,neutral,"два маленький хлопець , один у пластмас , інший у футболка і підніжка , сидіти на жовтий стілець , втілений в стіл .",NUM ADJ NOUN PUNCT DET ADP NOUN PUNCT DET ADP NOUN CCONJ NOUN PUNCT VERB ADP ADJ NOUN PUNCT ADJ ADP NOUN PUNCT,два маленький дитина чекати наступний їжа .,NUM ADJ NOUN VERB ADJ NOUN PUNCT
