premise_clean,hypothesis_clean,labels,label_name
Чоловік готується кидати палку за свою собаку.,Чоловік і його собака грають на його дворі.,1,neutral
Чоловік у чорному пальто і плетені капелюхи ходить по вулицях міста.,Чоловік ходить.,0,entailment
"Краткочісний чоловік у синій сорочки розмовляє з групою людей за межами будинку, який має білі двері і балкон.","Група людей в будівлі, що чекають ліфта.",2,contradiction
Три чоловіки з прихованцями на вухах тримають зброю і практикують стріляння на полі стріляни.,"Три людини стріляють по цілі, яка нагадує людину.",1,neutral
"Чоловік у капуті, який тримає молоток і сидить на підлозі.","Чоловік, який тримає ключ, стоїть у своєму гаражі.",2,contradiction
"чоловік у червоній капелюзі і синій верхній носіть на голові ладенку, заповнене печеними виробами.","Чоловік, який продав пончики на фестивалі з лавки на голови.",1,neutral
"Дівчина сидить на лаві перед велосипедом, чищуючи взуття з кистиною.",дівчина краде кишені людей.,2,contradiction
Люди гоняються по дорозі на скейтбордах.,Люди гоняються.,0,entailment
На даний момент великий і приємний ресторан виглядає порожнім.,У гарному ресторані багажник.,2,contradiction
"Дві маленькі хлопці, один у пластмасі, інший у футболці і підніжку, сидять на жовтих стільцях, втілених в стіл.",Дві маленькі діти чекають наступного їжі.,1,neutral
Сім людей вбираються в природний басейн.,Чотири людини вбираються в природний басейн,2,contradiction
"Чоловік у довгих рукаваних сорочках, їхавший жовтим мопедом через вулицю.","Чоловіка зупинили на середині вулиці, розмовляючи з жінкою.",2,contradiction
Є 4 фотографії того ж хлопця і на трьох з них він має корону.,Чоловік і корона.,0,entailment
жінка в чорному танцює з кимось.,Дівчина танцює.,0,entailment
Деякі підліткові посміхаються з відкритого столу.,Деякі підліткові змагалися на вулиці.,2,contradiction
Футбольна команда виступає за свій національний гімн.,Футбольна команда одягнена у біло-чорно.,1,neutral
Деякі люди одягаються в костюми для вечірки.,Це Хеллоуін.,1,neutral
Група чорних дітей у білих сорочках сидять на скалах.,Діти сидять на скамейці.,0,entailment
Жінка в апельсиновому танковому верхньому та окулярах з гуло-хулопом.,Самка використовує скачок.,2,contradiction
Бейсбольний гравець у біло-чорній уніформі намагається зламати бейсбольний біл.,Гравець намагається злавити щось досить маленьке.,0,entailment
Дві люди в хокейних формах на льді.,Хокейні гравці на льодовику.,0,entailment
"Група велосипедистів, які їдуть велосипедом по дорозі.","Велосипеди насолоджуються весною, коли їдуть на велосипеді по дорозі",1,neutral
"Жінка в рожевому капусті і рожевому джинсу, що тримає чорну сумочку, курить, а інші люди в капусті стоять на стенді і віддають щось безкоштовно.",Вони пара.,1,neutral
Хлопчик без сорочки ударує по снігу.,хлопчик кидає сніг,0,entailment
"Жінка сидить з поліцейським, коли він виконує доповідь.",Жінка здійснила злочин.,1,neutral
"Люди, які ходять по пустелі, виглядають згубними.",Люди ходять по пустельному полі.,0,entailment
дві молодіжні футбольні команди грають у гру,обидві команди - суперники.,1,neutral
"Троє молодих людей читають таблицю на дерев'яному хресті в скалистому ландшафті, один молодий чоловік розмовляє на мобільний телефон.","Три хлопці читають на хресті, а інший - на телефоні.",0,entailment
Чоловік чистить свою човник на під'їзді.,Чоловік чистить човен.,0,entailment
Перед сидячими натовпом чоловік з сирою бородою отримує від молодшого чоловіка в чорній сорочки стримування бороди.,Чоловіку стрибають бороду.,0,entailment
