premise,hypothesis,labels
Чоловік готується кидати палку за свою собаку.,Чоловік і його собака грають на його дворі.,1
Чоловік у чорному пальто і плетені капелюхи ходить по вулицях міста.,Чоловік ходить.,0
"Краткочісний чоловік у синій сорочки розмовляє з групою людей за межами будинку, який має білі двері і балкон.","Група людей в будівлі, що чекають ліфта.",2
Три чоловіки з прихованцями на вухах тримають зброю і практикують стріляння на полі стріляни.,"Три людини стріляють по цілі, яка нагадує людину.",1
"Чоловік у капуті, який тримає молоток і сидить на підлозі.","Чоловік, який тримає ключ, стоїть у своєму гаражі.",2
"чоловік у червоній капелюзі і синій верхній носіть на голові ладенку, заповнене печеними виробами.","Чоловік, який продав пончики на фестивалі з лавки на голови.",1
"Дівчина сидить на лаві перед велосипедом, чищуючи взуття з кистиною.",дівчина краде кишені людей.,2
Люди гоняються по дорозі на скейтбордах.,Люди гоняються.,0
На даний момент великий і приємний ресторан виглядає порожнім.,У гарному ресторані багажник.,2
"Дві маленькі хлопці, один у пластмасі, інший у футболці і підніжку, сидять на жовтих стільцях, втілених в стіл.",Дві маленькі діти чекають наступного їжі.,1
Сім людей вбираються в природний басейн.,Чотири людини вбираються в природний басейн,2
"Чоловік у довгих рукаваних сорочках, їхавший жовтим мопедом через вулицю.","Чоловіка зупинили на середині вулиці, розмовляючи з жінкою.",2
Є 4 фотографії того ж хлопця і на трьох з них він має корону.,Чоловік і корона.,0
жінка в чорному танцює з кимось.,Дівчина танцює.,0
Деякі підліткові посміхаються з відкритого столу.,Деякі підліткові змагалися на вулиці.,2
Футбольна команда виступає за свій національний гімн.,Футбольна команда одягнена у біло-чорно.,1
Деякі люди одягаються в костюми для вечірки.,Це Хеллоуін.,1
Група чорних дітей у білих сорочках сидять на скалах.,Діти сидять на скамейці.,0
Жінка в апельсиновому танковому верхньому та окулярах з гуло-хулопом.,Самка використовує скачок.,2
Бейсбольний гравець у біло-чорній уніформі намагається зламати бейсбольний біл.,Гравець намагається злавити щось досить маленьке.,0
Дві люди в хокейних формах на льді.,Хокейні гравці на льодовику.,0
"Група велосипедистів, які їдуть велосипедом по дорозі.","Велосипеди насолоджуються весною, коли їдуть на велосипеді по дорозі",1
"Жінка в рожевому капусті і рожевому джинсу, що тримає чорну сумочку, курить, а інші люди в капусті стоять на стенді і віддають щось безкоштовно.",Вони пара.,1
Хлопчик без сорочки ударує по снігу.,хлопчик кидає сніг,0
"Жінка сидить з поліцейським, коли він виконує доповідь.",Жінка здійснила злочин.,1
"Люди, які ходять по пустелі, виглядають згубними.",Люди ходять по пустельному полі.,0
дві молодіжні футбольні команди грають у гру,обидві команди - суперники.,1
"Троє молодих людей читають таблицю на дерев'яному хресті в скалистому ландшафті, один молодий чоловік розмовляє на мобільний телефон.","Три хлопці читають на хресті, а інший - на телефоні.",0
Чоловік чистить свою човник на під'їзді.,Чоловік чистить човен.,0
Перед сидячими натовпом чоловік з сирою бородою отримує від молодшого чоловіка в чорній сорочки стримування бороди.,Чоловіку стрибають бороду.,0
"Дві собаки на полі, зі зіштовхуються.",Дві кішки обіймаються на дивані,2
Жінська команда з Росії грає в баскетбол.,Вони найкраща команда в світі.,1
"сім'я, яка позирує на фото в басейні під час виходу на купальні.","Деякі люди плавають, усміхаючись перед камерою.",1
Дві діти насолоджуються на трамполіні.,Дві діти грають на трамполіні після школи.,1
"Жінка в чорній сорочки і джинсах, з червоним свитером, пов'язаним навколо плеч, гакати, коли сидить на стільці на відкритому повітрі.",Жінка готує вечерю.,2
"Чорно-білий собака носить палку в роті, коли плаває в чистій воді.",Собака веде чудово.,1
Члени метлового гурту дивляться на ноти.,Музиканти дивляться на ноти.,0
"Чоловік, який старий, має довгий білий уса.",Дядя дозволяє своєму внуку гратися у мустаки.,1
"Чоловік у довшому чорному пальто з палкою ходить поруч з автобусом, де пасажир відклав голову на руку.","Пасажир автобусу відпочиває голову, а чоловік з палкою ходить поруч з автобусом.",0
Дитина в смужному сорочку і шортах до коліна стоїть вправо.,Чоловік біжить по трасі.,2
Одна собака стрибає на іншу собаку за огородом в сніжний день.,Дві собаки біля оголу і снігає.,0
"Чоловік, який вітається на тенісній м'яч з зеленим знаком, який пише ""Спорт знайомих"".",Чоловік носить взуття.,1
Група дітей і дорослих їздить на велосипедах на грунтовій дорозі в лісі.,Люди їдуть на велосипедах.,0
Діти сидять на краю і розмовляють.,Люди сидять.,0
Страшній чоловік у кухні тримає своє м'ясо високо в повітрі.,Чоловік тримає м'ясо.,0
"Коричнева і біла собака, що бегло по води до іграшки.",Дві собаки гоняться через луби на вулиці.,1
"Чоловік у червоних шортах, який стоїть на скалах біля річки",Чоловік на вулиці у червоних шортах.,0
Чоловік у білих носках їздить на велосипеді.,Дівчина в колінових чорапах позирує на фото.,2
"Чоловік, який тримає скейтборд під блакитним небом з білими хмарами з будівлями на задньому плані.","Чоловік, який опинився на стіні.",1
Оранжеві будівельні вантажівики проїжджають по загарбленому чотирипростожному вулиці в центрі міського міського центру.,деякі вантажівки рухаються,0
Парк-ренджер виглядає дуже жорстоко сьогодні,Парковий рейнджер порікає камермена.,1
"Велосипеди стрибають в повітря, коли їх спостерігають глядачі.",Глядачі щось дивляться.,0
Серфінг у чорному костюмі їздить на хвилі біля берега,Серфінг на серфінговой таблі.,0
Група людей стоїть в розпущеному ряді на кирпічній землі.,На вулиці є група людей.,0
Восточна дівчина тримає малюка в руках.,Дівчина тримає малюка.,0
Місто з автомобілями і людьми з гігантським хмарочосом.,Це пік-час.,1
Чоловік на велосипеді в повітрі,Чоловік намагається отримати світовий рекорд за бік-тики.,1
"Жінка з білим візуром, синьою верхньою і білими штанами, що їсть, стоячи в натовпі.",Жінка їсть перед іншими.,0
"Чоловік з темно-крутіми волоссями, який грає на гітарі поруч з кока-машиною.",Чоловік грає за бакшіти поруч з кокаїною.,1
"Група людей дивиться старі пару, які стоять поруч з чоловіком з ковбоїцькою шапкою і гітарою.","Група дивилася, як старі пара танцює перед чоловіком з гітарою.",1
Чоловік намагається допомогти жінці в бікіні перейти з одного доку до іншого.,Чоловік намагається підняти дівчину,1
"Гурт під назвою Sun Chasers грає на своїх інструментах, а поруч відкрито депо для пожертвовань.","Група грає свої нові пісні на вулиці, просячи пожертвований.",1
Жінка співає в мікрофон.,Жінка співає на вечірці,1
Жінка в чорному і колена на ролінових коньках з рогами на обличчі оленя на вершині кашу.,"Жінка, яка їздить на сноуборі з гори, оскільки сильно снігає.",2
Чоловік у традиційній православної єврейській сукні бачить ззаду один.,Чоловік збирається ходити в церкву.,1
"Люди, які стоять на скелях, працюють.",Робітники малюють на скелі.,1
"Чорна собака, що пробігає через траву.",Собака на вулиці.,0
Персонал ресторана чистить стіли.,Ресторан закривається на ніч.,1
"Сім'я за столом з кольоровими тарільками, готуючись їсти",На тарілах є кукуруза.,1
Група людей ходить по вулиці.,Група людей грає в бейсбол.,2
"Чоловік сидить проти будівлі, використовуючи інструменти.","Є чоловік, який стоїть і нічого не робить на вулиці.",2
"Два противника, один у синій і один у білі, спріють.","Дві собаки, які грають у лов.",2
"Чоловік стриже шию, але не бороду.",Чоловік використовує електричний бриз для обрізки шиї.,1
Молодий хлопчик у синій футболі з лагера ротари кидає м'яч.,Дівчата грали разом.,2
Футбольний гравця номер 13 робить стрілку на гол з чотирма захисниками і воротарцем.,Людина грає в футбол.,0
Хтось відновлює цю структуру.,Строитель відбудує будівлю.,1
"Жінка середнього віку, що ходить по пустелі.",Ця жінка спортсменка.,1
"Маленька дівчинка грає в гру ""Дербі"" в аркаді",Маленька дівчинка їсть морозиво.,2
Дві чоловіки займають перерву під час роботи.,Два людини відпадують.,0
Деякі чоловіки стоять перед будівлею поруч з паркованою машиною.,Чоловік на вулиці.,1
Люди на пляжі шукають речі в піску,"Дві люди в гігантській горшіна, повній сіропу з опірового.",2
Дві старші жінки і дівчина сидять з лісом на задньому плані.,Три людини сидять біля лісу.,0
"Жінка в синій передає хліб іншій жінці, а чоловік у червоній рубаші дивиться на транзакцію.","Жінка, яка їздить на коні на фермі.",2
"Великий соровий собака лежить на землі, дивлячись в сторону.",собака біжить на полі,2
"Строительські працівники, які одягають жовті відбитої жилети, дивляться на камеру, усміхаючись.",Строительська команда закінчила роботу,1
Футбольний гравця у зеленої футболі збігається з поля.,Чоловік вибегає з човна.,2
Чорнокоса жінка за подиумом виступає перед великою натовпом.,Фанів дивиться футбольний матч.,2
"Дві команди екіпажу плавають по березі, як спостерігачі спостерігають.",Дві команди гребляться по березі.,0
Жінка готує каву в кафе.,Батіста робить клієнту каву.,1
"Жінка розбудована і збирається видати пляшку вина, коли за нею стоїть хлопчик, який виглядає дуже занепокоєним.",Жінка апатична.,2
"П'ять людей стоять на мосту, а один з людей, голодий чоловік у коричневій рубашке і джинсах, вказує від мосту.",Деякі люди стоять на мосту,0
Цей чоловік з касой робить трюк на велосипеді на відкритому повітрі.,"На велосипеді є жінка, яка робить відбіжки.",1
панель маленького літаку.,Літак має управління.,0
Дві чоловіки і жінка грають у гру з модульними дошками і кольоровими дерев'яними фігурами.,Люди спить.,2
"Два чоловіки, які борються на ковдру перед натовпом і офіцером.","Мужчини - найкращі друзі, які намагаються вирішити ставку про те, хто кращий у боротьбі.",1
"Бізнесмен у костюмі розмовляє по мобільному телефону, коли йде по натовпній вулиці.",Ходіць в лісі прогуляється по тихому склоні гори,2
"Дві особи, які одягаються в жовті, грають на інструментах і лягають біля трави.",Вони всередині.,2
"Маленьке дитину, що працює на кухні, на обличчі витягнуто порошок.",Дитина пече їжу.,1
Чоловік у жилеті читає газету.,Чоловік холодний.,1
Спортсменка стрибає на велику стіну.,Хтось стрибає.,0
Люди сидять на скалах на тротуар.,Люди сидять на тротуар.,2
Маленький хлопчик з рюкзаком наближається до каменного арку.,Хлопчик з рюкзаком у кіно.,2
"Жінка, яка катається на роліновому дербі, носить червону кашу з білою зіркою на ній.","Смутна жінка, яка катається на роліновому дербі, одягнена в червону кашу з білою зіркою на ній.",1
"Чоловік у темнокольовому свитересні посміхається, тримаючи склянку пива.",Чоловік їде на роботу.,2
"На полі стоїть велика група чоловіків у військових одягах, а за ними - натовп.","Є люди, які водяні балони бій.",2
Люди ходять і бігають по парковому шляху.,"Люди, які займаються спортом",0
"Чоловік, який носить шлем і рюкзак, тримає велосипед перед магазином.",Чоловік втомився від їзди на велосипеді.,1
Строительські працівники встановлюють світловий стол.,Це важка робота.,1
Дві собаки грають на жорсткому плані.,Дві собаки грають з м'ячкою на вулиці.,1
Чоловік грає з білондам на задньому дворі з коричневою травою.,Дві діти грають всередині.,2
Люди відвідують стадіон.,Люди відвідують стадіон.,0
Дівчина виступає на подиумі.,Дівчина виступає на виборах.,1
Дві члени групи носять шляпки з жовтіми пір'ями.,Дві чоловіки в шапках.,0
"Ось фотографія двох чоловіків, які висекують дерева.",Люди - лісоруби.,1
"Жінка стоїть на сході, змінює маркію.","Жінка-робітниця, що стоїть на сході, змінює маркію.",0
Дві маленькі білі собачки граються в снігу.,Дві люди на пляжі.,2
Чоловік у апельсиновому пальто розгуляно кидає маленьку дівчинку в повітря на порожній пляжі в хмарний день.,У сонячний день люди насолоджуються водопроводством на місцевій річці.,2
Дві діти грають на закрученому барелі.,Деякі діти на вулиці.,1
Жінка стоїть за прозорим лістком за великим дисплеєм десертів.,Високий людина за лістком,1
"Група студентів працює над проектом, а над головою виведені світові прапори.",Група студентів працює разом над школьним проектом.,0
"дві жінки, які працюють на дроті.",Три чоловіки танцюють з вогнем.,2
Жінка в білої купальні капелюхи навчає малюка плавати в басейні.,Жінка з сином в озері.,2
Чоловік у червоній куртці і джинсах стоїть поруч з колоною перед магазином.,"чоловік, який спить на лаві",2
Жінка з дуже великою чорною перукою і гігантськими сонячними очками тримає дзеркало до обличчя.,Вона макіяжує.,1
"Маленька дівчинка, що вісела в віхті з чашкою.","Дитина п'є молоко з кубки, коли вісеє",1
"Три жінки працюють на полі, чотири діти і жінка, яка тримає дитячу годинку.",Жінки і діти плавають в басейні.,2
"Три жінки сидять на парковому латуні, одна, старіша жінка, викопає щось заморожене з чашки, середня кусає нігті, а третя - драбує лотерейський квиток.",Людина сидить.,0
"На вулиці озера відбувається фестиваль, де кілька барабанщиків у червоних сорочках і чоловік на стрілах грає на барабанах.",Чоловік на стрільках грає на інструменті для людей на озері,1
Три чоловіки на човні на воді.,"три чоловіки, які плавають човеном",0
"чоловік, який займає соло-учасницьку під час класичного шоу.",Рокер рушить свою гітару на сцені.,2
"Чоловік з поясом і веревкою, прив'язаним до талі, стоїть на вершині гори, на якій виходить вода.","Чоловік не помічає свого подвигу після того, як піднімається на гору.",0
"Дві молоді брюнетні жінки, обидві в чорних штанах і білих сорочках, сидять біля тротуара; одна з жінок курить сигарету.",Дві дівчата спить у ліжку.,2
Дві діти біжать до лагуни.,дві дівчата грають у одяг,2
"Молодий бігль, який грає на траві.",Шчанка-бігл сидить на килиху.,2
"Дві хлопці, в маруновому свитере, інший у світло-синій, сидять в футболках і грають у відеоігри.",Дві хлопці в капуті грають в настольні ігри.,2
"Дві люди, які полюються поспіді води.",Дві люди поцілуються.,0
Дитина лягає на землі біля м'яча перед паркованою машиною і веде ряд паркованих автомобілів на плячі дороги.,Дитина на землі.,0
Без футболки хлопець виконує трюк на маленькому велосипеді.,Чоловік виконує трюки на велосипеді.,0
"Маленький хлопчик з синім пальтою робить смішний обличчя, коли він ходить до трави.","Дитина ходила біля трави, роблячи смішний обличчя.",0
"Чоловік, який спить на літі на темній фотографії.",чоловік стрибає на ліжко,2
"Чоловік у робочому костюмі, який щось ремонтує на трасі.",Чоловік не носить робочого костюму.,2
"Постарша жінка в гарній одязі, молодий чоловік у синій штані і ветряний зламач стоять біля будівлі Hoyt Reality Group.","Старіша жінка стоїть в банку Америки, шукаючи кредит.",2
"Футбольна гра, де 2 члени білої команди зіграють з одним членом червоної команди.","Є люди, які конкурують у спорті.",0
"Строительний працівник, який носить жовту шапку, кидає бруди в коляску.",Працівник допомагає завантажити бруди на робочому місці,0
"Девять чорно-коричневих пуг в гальцерах, які грають на травному газоні.",Собаки на вулиці.,0
"Жінка в рожевому пальто стоїть у снігу поруч з ""телефонною щеткою"", усміхаючись, як вона тримає невелику лопату.",Жінка збирається почати розчистити свій підхід.,1
Чорти хлопців з двох команд лакросу йдуть по полі під час гри.,Хлопці грають в лакрос на зеленому полі.,1
Жінка і дитина перед різдвяною деревою відкривають подарунки.,Мама і її син святкують Різдво разом.,1
"Жінка, одягненій у коричневе платьо з відповідним турбаном, виштовхує дитину через парк у своєму коляску.",У коляску знаходиться маленьке дитя.,0
"Детка в жовтій рубашке прогуляється в ручці, допомагаючи чоловіку в шортах і сандалах.",Чоловік кидає конфеті в повітря.,2
"Жінка в апельсиновій рубашії схиляється до дверей, посміхається і курить сигарету.","Жінка схиляється до дверей, щоб подивитися, чи є хтось вдома.",1
"Діти грають на вулицях, а один тримає зброю, а доросла жінка проходить мимо.",На вулиці грають діти.,0
"Чоловік піднімає жінку в танці, як їх пози для фотографії, що приймається.",Чоловік піднімає жінку.,0
маленька дівчинка піднімає тарілку.,Дівчина піднімає тарілку.,0
Жінка тримає руку широкоокового малюка в різдвяному костюмі.,Леді і чоловік одягнуті як Санта і місіс Клаус,2
Чотири молодих чоловіків і молода жінка на її мобільній телефон перебувають разом в кухні.,"Чотири молодих чоловіків говорять по телефону, а молода жінка на кухні годує собаку.",2
Дві дорослики працюють над деревом,Дві дорослі малюють плани на папері.,2
Три дівчата біжать на полі.,Три дівчата в середній школі готуються на тренингу.,1
